Asset ID,Owner,Platform,Run,Sample,Fastq File,TypeAnalysis,projectNumber,sequencingDate
135597287,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01056-B1,SFRC01056-B1_S1_R2_001.fastq.gz,WES ,MGC-AC-2210,26.11.2019Ê
135597447,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01102-11C9688,SFRC01102-11C9688_S5_R2_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597473,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01056-B1,SFRC01056-B1_S1_R1_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597596,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01102-B1,SFRC01102-B1_S3_R1_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597629,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01129-B1,SFRC01129-B1_S7_R1_001.fastq.gz,CCP,MGC-AC-2211,26.11.2019Ê
135597717,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01056-A1,SFRC01056-A1_S2_R2_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597731,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01102-12C7059,SFRC01102-12C7059_S4_R2_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597805,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01102-11C9688,SFRC01102-11C9688_S5_R1_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597820,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01102-12C7059,SFRC01102-12C7059_S4_R1_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597854,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01129-N,SFRC01129-N_S8_R1_001.fastq.gz,CCP,MGC-AC-2211,26.11.2019Ê
135597945,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01129-N,SFRC01129-N_S8_R2_001.fastq.gz,CCP,MGC-AC-2211,26.11.2019Ê
135597987,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01056-A1,SFRC01056-A1_S2_R1_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597988,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01102-B1,SFRC01102-B1_S3_R2_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
135597992,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRC01129-B1,SFRC01129-B1_S7_R2_001.fastq.gz,CCP,MGC-AC-2211,26.11.2019Ê
135598155,TONY-PAPENFUSS,NextSeq,191125_NB501056_0407_AHWL3NBGXC,SFRc01102-13C6258,SFRc01102-13C6258_S6_R1_001.fastq.gz,WES,MGC-AC-2210,26.11.2019Ê
